package_id,customer_name,route_zone,qr_id
PKG_20260611_001,최예준,2026-06-11,QR_20260611_001
PKG_20260611_002,윤주원,2026-06-13,QR_20260611_002
PKG_20260611_003,윤지민,2026-06-11,QR_20260611_003
PKG_20260611_004,권민서,2026-06-12,QR_20260611_004
PKG_20260611_005,권윤서,2026-06-11,QR_20260611_005
PKG_20260611_006,김윤서,2026-06-13,QR_20260611_006
PKG_20260611_007,오지호,2026-06-11,QR_20260611_007
PKG_20260611_008,박하은,2026-06-11,QR_20260611_008
PKG_20260611_009,한지호,2026-06-11,QR_20260611_009
PKG_20260611_010,신수아,2026-06-11,QR_20260611_010
PKG_20260611_011,조다은,2026-06-13,QR_20260611_011
PKG_20260611_012,서지후,2026-06-12,QR_20260611_012
PKG_20260611_013,강민준,2026-06-12,QR_20260611_013
PKG_20260611_014,장민준,2026-06-13,QR_20260611_014
PKG_20260611_015,황서연,2026-06-12,QR_20260611_015
PKG_20260611_016,조준우,2026-06-11,QR_20260611_016
PKG_20260611_017,서서현,2026-06-11,QR_20260611_017
PKG_20260611_018,송지후,2026-06-11,QR_20260611_018
PKG_20260611_019,조지후,2026-06-13,QR_20260611_019
PKG_20260611_020,김민준,2026-06-11,QR_20260611_020
