package_id,customer_name,route_zone,qr_id
PKG_20260610_001,한수아,2026-06-11,QR_20260610_001
PKG_20260610_002,강지우,2026-06-10,QR_20260610_002
PKG_20260610_003,김서현,2026-06-11,QR_20260610_003
PKG_20260610_004,서서현,2026-06-11,QR_20260610_004
PKG_20260610_005,송다은,2026-06-10,QR_20260610_005
PKG_20260610_006,황지우,2026-06-10,QR_20260610_006
PKG_20260610_007,한민서,2026-06-12,QR_20260610_007
PKG_20260610_008,정민서,2026-06-11,QR_20260610_008
PKG_20260610_009,이수아,2026-06-10,QR_20260610_009
PKG_20260610_010,최예준,2026-06-11,QR_20260610_010
PKG_20260610_011,이서준,2026-06-10,QR_20260610_011
PKG_20260610_012,조윤서,2026-06-10,QR_20260610_012
PKG_20260610_013,황지민,2026-06-10,QR_20260610_013
PKG_20260610_014,윤지호,2026-06-10,QR_20260610_014
PKG_20260610_015,강민서,2026-06-11,QR_20260610_015
PKG_20260610_016,윤지민,2026-06-12,QR_20260610_016
PKG_20260610_017,조채원,2026-06-11,QR_20260610_017
PKG_20260610_018,송주원,2026-06-10,QR_20260610_018
PKG_20260610_019,권민준,2026-06-11,QR_20260610_019
PKG_20260610_020,박도윤,2026-06-11,QR_20260610_020
