package_id,customer_name,route_zone,qr_id
PKG_20260608_001,서도윤,2026-06-09,QR_20260608_001
PKG_20260608_002,권하은,2026-06-08,QR_20260608_002
PKG_20260608_003,강민준,2026-06-08,QR_20260608_003
PKG_20260608_004,강민서,2026-06-08,QR_20260608_004
PKG_20260608_005,전윤서,2026-06-10,QR_20260608_005
PKG_20260608_006,신윤서,2026-06-09,QR_20260608_006
PKG_20260608_007,한예준,2026-06-08,QR_20260608_007
PKG_20260608_008,권주원,2026-06-09,QR_20260608_008
PKG_20260608_009,전주원,2026-06-09,QR_20260608_009
PKG_20260608_010,안지호,2026-06-08,QR_20260608_010
PKG_20260608_011,임시우,2026-06-09,QR_20260608_011
PKG_20260608_012,이지후,2026-06-09,QR_20260608_012
PKG_20260608_013,이서현,2026-06-09,QR_20260608_013
PKG_20260608_014,송수아,2026-06-08,QR_20260608_014
PKG_20260608_015,박시우,2026-06-08,QR_20260608_015
PKG_20260608_016,이지후,2026-06-09,QR_20260608_016
PKG_20260608_017,오민서,2026-06-08,QR_20260608_017
PKG_20260608_018,홍지후,2026-06-08,QR_20260608_018
PKG_20260608_019,황지민,2026-06-08,QR_20260608_019
PKG_20260608_020,권민준,2026-06-08,QR_20260608_020
