package_id,customer_name,route_zone,qr_id
PKG_20260607_001,정서준,2026-06-09,QR_20260607_001
PKG_20260607_002,임민준,2026-06-07,QR_20260607_002
PKG_20260607_003,윤서현,2026-06-08,QR_20260607_003
PKG_20260607_004,강민서,2026-06-07,QR_20260607_004
PKG_20260607_005,이서준,2026-06-08,QR_20260607_005
PKG_20260607_006,박민서,2026-06-09,QR_20260607_006
PKG_20260607_007,강민준,2026-06-08,QR_20260607_007
PKG_20260607_008,오주원,2026-06-08,QR_20260607_008
PKG_20260607_009,최지민,2026-06-08,QR_20260607_009
PKG_20260607_010,김지민,2026-06-07,QR_20260607_010
PKG_20260607_011,홍하은,2026-06-09,QR_20260607_011
PKG_20260607_012,송주원,2026-06-07,QR_20260607_012
PKG_20260607_013,최채원,2026-06-07,QR_20260607_013
PKG_20260607_014,황하준,2026-06-09,QR_20260607_014
PKG_20260607_015,한지호,2026-06-07,QR_20260607_015
PKG_20260607_016,강준우,2026-06-07,QR_20260607_016
PKG_20260607_017,박윤서,2026-06-08,QR_20260607_017
PKG_20260607_018,정민준,2026-06-08,QR_20260607_018
PKG_20260607_019,강다은,2026-06-09,QR_20260607_019
PKG_20260607_020,최지후,2026-06-08,QR_20260607_020
